id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
5542999,Bright cozy apartment Excellent location,27834739,Vicky Y Juan,,Colegiales,-34.56888,-58.45674,Entire home/apt,2178,5,95,2019-06-09,1.82,1,340
5561680,Beautiful apartment in Buenos Aires,5990137,Carolina,,Belgrano,-34.55558,-58.45635,Entire home/apt,1968,3,26,2019-02-19,0.54,2,340
5567325,Large and cozy apartment. Palermo ( Plaza Italia ),28863074,Lucía,,Palermo,-34.58511,-58.42081,Entire home/apt,1005,2,21,2018-03-11,0.40,1,105
5567804,Best Location in Caballito - Buenos Aires 80m2,28865665,Horacio José,,Caballito,-34.61469,-58.43908,Entire home/apt,1884,2,79,2019-06-30,1.53,2,124
5567985,Malabia Stay,16000925,Kristoffer,,Palermo,-34.59243,-58.43136,Private room,1256,3,4,2018-11-30,0.17,24,72
5572018,15-Amplio y confortable Dpto x4pers,10058857,Matias,,San Nicolas,-34.60207,-58.37959,Entire home/apt,2429,3,47,2019-05-11,1.00,4,300
5579344,Bright 1B/1B Apt near BA main areas,24440501,Ricardo,,Saavedra,-34.54348,-58.48037,Entire home/apt,2094,4,2,2017-04-09,0.05,1,363
5580587,"LOFT / STUDIO - Bright, spacious and magic.",28933374,Fernando,,Chacarita,-34.58824,-58.447,Entire home/apt,1131,2,41,2019-06-12,0.78,1,351
5587188,PH en Palermo,21381090,Mechys,,Palermo,-34.57979,-58.42954,Private room,1256,1,12,2018-03-31,0.23,1,365
5590899,Loft  in Residential district,28984314,Rodrigo,,Villa Urquiza,-34.57683,-58.4959,Entire home/apt,1717,3,8,2017-08-06,0.19,1,177
5591972,Departamento en Palermo para 2 personas,28992890,Carolina,,Palermo,-34.59037,-58.41902,Entire home/apt,628,7,11,2018-03-15,0.21,1,0
5598199,1 Br Apartment in Alto Palermo Area,28927251,Sara,,Palermo,-34.58928,-58.41768,Entire home/apt,2722,2,10,2019-02-25,0.24,5,365
5599127,Cozy apartment in Palermo Soho,29029269,Fer,,Palermo,-34.58315,-58.42301,Entire home/apt,586,5,7,2018-10-31,0.14,2,0
5599742,Nice Apartment in Palermo Hollywood,24290222,Pablo,,Palermo,-34.57797,-58.43816,Entire home/apt,2178,5,33,2018-09-18,0.66,2,353
5601007,Elegant 4 guests center safe,1482817,Lorena,,Retiro,-34.59655,-58.37503,Entire home/apt,4188,3,0,,,47,292
5602366,Be a local in Palermo Hollywood!,698815,Julia And Daniel,,Palermo,-34.581,-58.43059,Entire home/apt,1424,2,0,,,1,0
5604632,☀Best Location Alto Palermo☀Tota! 12ºFloor 3 Bdrs.,22654246,Cynthia,,Palermo,-34.58826,-58.41306,Entire home/apt,3141,3,190,2019-06-23,3.61,4,237
5606854,3 Bedroom Apartment in Palermo SOHO,28927251,Sara,,Palermo,-34.58596,-58.4246,Entire home/apt,5863,2,45,2019-01-08,0.87,5,326
5615565,"Loft w/mezzanine, rooftop, parking and grill",1714257,Martin,,Villa Crespo,-34.5977,-58.42903,Entire home/apt,1675,3,82,2019-05-02,1.59,16,328
5615842,"Big, luminous & ideally located",17730976,Martín,,Recoleta,-34.58828,-58.40891,Entire home/apt,2094,29,16,2016-03-29,0.31,1,318
5616817,ZBEAUTIFUL NEW APARTMENT PALERMO CAÑITAS,29114163,Marcos,,Palermo,-34.57356,-58.4325,Entire home/apt,2052,1,1,2019-07-09,1,2,67
5622604,Loveliness in the heart of BA,11247418,Deb,,Recoleta,-34.58979,-58.40471,Entire home/apt,1675,3,16,2017-09-30,0.32,2,365
5625753,Habitación privada en pleno corazón porteño,29157914,Estefania,,Barracas,-34.64182,-58.37217,Private room,293,7,0,,,1,0
5631354,Lovely Apartment Great Location,8677205,Javier,,Palermo,-34.58239,-58.42104,Entire home/apt,963,1,117,2019-06-29,2.25,1,327
5636795,Urban Oasis in Belgrano - ideal for families/group,29213691,Roxana,,Belgrano,-34.55576,-58.44865,Entire home/apt,5653,4,66,2019-07-07,1.27,1,66
5637955,Luminoso cuarto en Buenos Aires.,24856374,María Julia,,Colegiales,-34.57165,-58.44742,Private room,1675,1,0,,,1,365
5640176,loft with terrace in buenos aires,29222812,Laura,,Villa Crespo,-34.60541,-58.44746,Entire home/apt,2345,2,0,,,3,40
5640825,Loft with terrace & parrilla,29222812,Laura,,Villa Crespo,-34.60536,-58.44756,Entire home/apt,3308,2,0,,,3,40
5641935,Duplex con terraza propia duermen 3,2572152,Margarita,,Nuñez,-34.54677,-58.46076,Entire home/apt,2931,2,0,,,1,4
5649687,Modern Palermo Chico Studio #33,4442974,RentinBA,,Palermo,-34.58251,-58.40526,Entire home/apt,2513,3,0,,,47,365
5649960,Apartment with terrace in Recoleta,17310041,Rodrigo,,Recoleta,-34.59134,-58.39438,Entire home/apt,1884,2,48,2019-02-23,0.93,2,26
5651779,¡Hermoso Depto. Confortable y silencioso.,29289977,María,,Almagro,-34.6024,-58.4313,Private room,796,2,9,2019-03-30,0.17,2,364
5659722,Excellent location!  ,1969133,Magali,,Retiro,-34.59219,-58.3809,Entire home/apt,1675,3,3,2018-07-16,0.19,1,363
5659851,Beauty apartment in Palermo Soho,10499928,Sebastian,,Palermo,-34.58584,-58.42176,Entire home/apt,2303,5,0,,,7,365
5660229,Apto. de 2 dormitorios con parking ,29339644,Carlos Sebastián,,Belgrano,-34.55877,-58.45553,Entire home/apt,6281,90,0,,,1,83
5660915,New apartment Palermo-Cañitas!!,29114163,Marcos,,Palermo,-34.57233,-58.43345,Entire home/apt,921,1,86,2019-07-05,1.65,2,67
5668536,Townhouse in Palermo ON SALE APRIL!,29386692,Federico,,Palermo,-34.57994,-58.43059,Entire home/apt,3141,5,1,2015-04-02,0.02,1,0
5672173,You will brag about having stayed in here ;),25625420,Juan,,Palermo,-34.58278,-58.44361,Entire home/apt,1591,1,6,2019-06-30,5.62,1,83
5673660,The best Palermo 3br + patio + BBQ,6753853,Lara Y Tomas,,Palermo,-34.59046,-58.42124,Entire home/apt,2722,61,4,2018-04-26,0.08,1,365
5681041,Modern Recoleta Studio #RS96,4442974,RentinBA,,Recoleta,-34.58588,-58.40018,Entire home/apt,3350,3,0,,,47,215
5685304,Private room -Single bed / Recoleta,29477678,Gustavo,,Recoleta,-34.58725,-58.40557,Private room,838,1,1,2015-10-18,0.02,1,365
5685310,Fantastic 3 Bed Flat in the Centre with AC,3652859,Maria,,Balvanera,-34.61038,-58.40117,Entire home/apt,1884,8,16,2019-07-10,0.36,4,294
5689959,"An Oasis in the city, garden, pool & Barbecue!",11776584,Carmen Liliana,,Saavedra,-34.54145,-58.4813,Entire home/apt,13603,4,27,2019-07-05,0.64,3,299
5692073,Fantastico apartamento en Puerto M,10743982,Cristina,,Puerto Madero,-34.61768,-58.36384,Entire home/apt,2387,3,0,,,1,0
5693408,Single room in Almagro,29516344,Carola,,Almagro,-34.60626,-58.41624,Private room,383,1,3,2015-08-27,0.06,1,0
5696164,Paraiso porteño ,29530979,Giulia,,Boedo,-34.62984,-58.42436,Private room,935,2,29,2019-04-08,0.56,2,333
5696605,Linda casita luminosa,5887272,Sil,,Floresta,-34.63612,-58.47735,Entire home/apt,1382,3,7,2018-06-09,0.17,1,358
5700922,Sunny apartment with terrace!,29558421,Roxana,,Palermo,-34.58727,-58.43216,Entire home/apt,2261,3,16,2018-03-22,0.39,2,365
5702322,Palermo Hollywood Penthouse,21858421,Gabriel,,Palermo,-34.58318,-58.44302,Entire home/apt,1131,29,7,2019-01-10,0.16,5,363
5703068,Large Villa Crespo Apartment with Private Garden,14419400,Sonya,,Villa Crespo,-34.59555,-58.43405,Entire home/apt,1466,5,15,2019-01-29,0.29,1,335
5705123,2 Bed Apartment in Recoleta,654296,Santiago,,San Nicolas,-34.60145,-58.39095,Entire home/apt,1005,14,17,2018-08-13,0.35,1,173
5716613,HUGE 5BED  RECOLETA PALACE (AL4),12122305,Mark,,Recoleta,-34.58789,-58.38572,Entire home/apt,16750,3,75,2019-06-25,1.45,8,329
5717036,Lindo depto de 3 habitaciones ,5611875,Marina,,Caballito,-34.61002,-58.44266,Entire home/apt,1298,30,0,,,1,185
5718330,Piso Compartido,24321187,Lourdes,,San Telmo,-34.61771,-58.37411,Private room,586,3,0,,,4,364
5720735,*Beautiful 2bd flat in Colegiales*,3401820,Aixa,,Colegiales,-34.57392,-58.44978,Entire home/apt,1131,5,0,,,1,349
5743515,Great Studio Palermo-Las Cañitas,4027666,Mariel,,Palermo,-34.57282,-58.43187,Entire home/apt,963,12,18,2019-02-20,0.42,2,349
5749786,Beautiful studio in Palermo Soho,29826085,Juan José,,Palermo,-34.58475,-58.42546,Entire home/apt,1884,3,61,2019-07-13,1.18,2,363
5749918,POINT APARTAMENT,29828875,Diego,,Belgrano,-34.55883,-58.44607,Entire home/apt,1591,3,12,2019-05-12,0.27,1,358
5756220,Apartment in Palermo (Cañitas),29858445,Nacho,,Palermo,-34.56892,-58.43423,Entire home/apt,1843,5,4,2015-12-11,0.08,1,3
5758144,Nice apt w/ yard near U. of Palermo,29870324,Andres Y Fabi,,Almagro,-34.59861,-58.41564,Entire home/apt,1005,2,27,2019-07-10,0.53,1,132
5759264,Alquiler temp monoambiente recoleta,310531,Soledad,,Recoleta,-34.5926,-58.40936,Entire home/apt,2094,7,0,,,2,362
5760532,Very luminous big studio,29884583,Victoria,,Balvanera,-34.61579,-58.39622,Entire home/apt,1131,6,38,2017-05-04,0.76,1,0
5768181,Cozy apartment in perfect location,22582799,Mariela,,Villa Crespo,-34.60014,-58.44096,Entire home/apt,2303,1,0,,,1,0
5768185,"Recoleta Superb Flat, Opening Promo",7094891,Paula,,Recoleta,-34.59889,-58.3877,Entire home/apt,1675,1,48,2019-03-04,0.92,2,361
